controller	abilityName	description	toTarget	playCondition	instructions	baseCooldown	mainNumber	secondNumber	powerStat	defenseStat	statusNumber	miscNumber	abilityTypes
Blank	Revive	Bring back a dead Player with $MainNum$ Health and a random Mood.	OtherPlayer	TargetIsDead	TargetRevive	1	8						Healing
Blank	Skip_Turn	Do nothing.	Self	None	None	0							Misc
Archer	Distract	An Elevated Player becomes Tired. Then deal $MainNum$ damage to them.	OnePlayer	TargetIsElevated	TargetBecomeTired/TargetAttack	1	4						Attack/MoodPlayer
Archer	Bullseye	This gains $PowNum$ Power. Then deal $MainNum$ damage to an Elevated Player.	Self-OnePlayer	None-TargetIsElevated	TargetGainPower-TargetAttack	1	2		1				Attack/StatEnemy
Archer	Cover	This becomes Focused and gains $DefNum$ Defense.	Self	None	TargetBecomeFocused/TargetGainDefense	1				1			MoodEnemy/StatEnemy
Archer	Aim_Up	This becomes Grounded, and a Grounded Player becomes Elevated.	Self-OnePlayer	None-TargetIsGrounded	TargetBecomeGrounded-TargetBecomeElevated	0							PositionPlayer/PositionEnemy
Barbarian	Fury	Deal $MainNum$ damage to the Player with the most Health.	OnePlayer	None	TargetAttack	1	5						Attack
Barbarian	Trample	The Player with the most Health loses $DefNum$ Defense and becomes Targeted for $StatusNum$ Rounds.	OnePlayer	None	TargetLoseDefense/TargetBecomeTargeted	0				1	2		StatPlayer
Barbarian	Brawl	The Player with the most Health loses 2 Max Health.	OnePlayer	None	TargetMaxHealth	1						-2	Attack
Barbarian	Frenzy	This becomes Focused and gains $PowNum$ Power.	Self	None	TargetBecomeFocused/TargetGainPower	1			1				MoodEnemy/StatEnemy
Bat	Drain	Deal $MainNum$ damage to a Player. This gains $MainNum$ Health.	OnePlayer-Self	TargetEffective-None	TargetAttack-TargetHeal	1	2						Attack/Healing
Bat	Screech	A Player becomes Lively and loses $DefNum$ Defense.	OnePlayer	None	TargetBecomeLively/TargetLoseDefense	1				1			MoodPlayer/StatPlayer
Bat	Hunting_Season	This gains $PowNum$ Power.	Self	TargetPowerOrLess	TargetGainPower	1			2			3	StatEnemy
Bat	Bloodthirst	This becomes Tired and gets $StatusNum$ Extra Ability.	Self	TargetNotTired	TargetBecomeTired/TargetGetExtraAbility	1					1		MoodEnemy
Bees	Sting	Deal $MainNum$ damage to all Players. This becomes Targeted for $StatusNum$ Rounds.	AllPlayers-Self	None-None	TargetAttack-TargetBecomeTargeted	0	1				2		Attack
